"guid","label"
"urn:uuid:c3620a97-65d6-4f9c-8a03-32e0d240a423","Information Element ActedUpon dwc:countryCode"
"urn:uuid:30db5994-81fa-4684-ac54-cfc226209d27","Information Element ActedUpon dwc:country"
"urn:uuid:8fe0d938-7aa4-40a2-87b7-5bd7e9727e95","Information Element ActedUpon dwc:phylum"
"urn:uuid:06adabf0-e6d4-4f99-819f-7dd38c796617","Information Element ActedUpon dwc:minimumDepthInMeters, dwc:maximumDepthInMeters"
"urn:uuid:e4f1fc86-c84d-4e92-9cf2-5250f243b371","Information Element ActedUpon dwc:dateIdentified"
"urn:uuid:c3987992-230d-4c2e-816c-5b72d98218eb","Information Element ActedUpon dwc:family"
"urn:uuid:bda769d4-d876-4bd0-8026-89bed5aad0eb","Information Element ActedUpon dwc:decimalLongitude"
"urn:uuid:cccfdbf6-f3b5-4c1e-a7fa-e059a9c416cd","Information Element Consulted bdq:AllValidationTestsRunOnSingleRecord"
"urn:uuid:10a04e3b-9254-49b6-8095-166179cd3707","Information Element ActedUpon dwc:decimalLatitude, dwc:decimalLongitude, dwc:geodeticDatum"
"urn:uuid:2ad22c2b-cebb-4924-b0e4-b36c64535010","Information Element Consulted dwc:verbatimCoordinates, dwc:verbatimLatitude, dwc:verbatimLongitude, dwc:verbatimCoordinateSystem, dwc:verbatimSRS"
"urn:uuid:e8c9ef54-af43-4c20-98a8-a7865cc169ac","Information Element ActedUpon dwc:eventDate"
"urn:uuid:5f20c136-8d20-46c7-8702-6eb7cc50e1a2","Information Element ActedUpon dwc:eventDate"
"urn:uuid:d3daaab7-b042-4dc7-a92f-77f19988f351","Information Element ActedUpon dcterms:license"
"urn:uuid:af5393af-6a71-4e39-aa70-7609ee10d1d0","Information Element ActedUpon dwc:minimumElevationInMeters"
"urn:uuid:033157e4-b8c3-466b-ba9a-38bc9b3ad86d","Information Element ActedUpon dwc:higherGeographyID, dwc:higherGeography, dwc:continent, dwc:country, dwc:countryCode, dwc:stateProvince, dwc:county, dwc:municipality, dwc:waterBody, dwc:island, dwc:islandGroup, dwc:locality, dwc:locationID, dwc:verbatimLocality, dwc:decimalLatitude, dwc:decimalLongitude, dwc:verbatimCoordinates, dwc:verbatimLatitude, dwc:verbatimLongitude, dwc:footprintWKT"
